Time(s),Content(bytes),Header(bytes)
0.0860450267791748,102400,204
0.06876349449157715,102400,204
0.06135845184326172,102400,204
0.03763556480407715,102400,204
0.03736066818237305,102400,204
0.03247380256652832,102400,204
0.05917215347290039,102400,204
0.04266500473022461,102400,204
0.03675389289855957,102400,204
0.04935908317565918,102400,204
0.0880894660949707,102400,204
0.05571794509887695,102400,204
0.03224635124206543,102400,204
0.040532588958740234,102400,204
0.07855796813964844,102400,204
0.03634071350097656,102400,204
0.03586840629577637,102400,204
0.05945158004760742,102400,204
0.08988332748413086,102400,204
0.253007173538208,102400,204
0.07178139686584473,102400,204
0.06507444381713867,102400,204
0.08213520050048828,102400,204
0.03598165512084961,102400,204
0.0656135082244873,102400,204
0.07319879531860352,102400,204
0.04817080497741699,102400,204
0.06767058372497559,102400,204
0.07936644554138184,102400,204
0.17010831832885742,102400,204
0.08324646949768066,102400,204
0.10975837707519531,102400,204
0.12273240089416504,102400,204
0.0605015754699707,102400,204
0.04020094871520996,102400,204
0.0408177375793457,102400,204
0.04418468475341797,102400,204
0.09183549880981445,102400,204
0.0323333740234375,102400,204
0.09008216857910156,102400,204
0.06385517120361328,102400,204
0.05181717872619629,102400,204
0.0662238597869873,102400,204
0.09797811508178711,102400,204
0.04034614562988281,102400,204
0.07001614570617676,102400,204
0.08098959922790527,102400,204
0.10036754608154297,102400,204
0.06687283515930176,102400,204
0.04848456382751465,102400,204
0.03781437873840332,102400,204
0.04166054725646973,102400,204
0.0343167781829834,102400,204
0.05341839790344238,102400,204
0.06302046775817871,102400,204
0.08777689933776855,102400,204
0.050920963287353516,102400,204
0.06154060363769531,102400,204
0.0579683780670166,102400,204
0.04474139213562012,102400,204
0.08265113830566406,102400,204
0.08099937438964844,102400,204
0.07334733009338379,102400,204
0.0625159740447998,102400,204
0.050972938537597656,102400,204
0.06473636627197266,102400,204
0.03199148178100586,102400,204
0.082000732421875,102400,204
0.062337398529052734,102400,204
0.043656110763549805,102400,204
0.0639803409576416,102400,204
0.05540013313293457,102400,204
0.05563759803771973,102400,204
0.0597536563873291,102400,204
0.037229299545288086,102400,204
0.0706186294555664,102400,204
0.06759977340698242,102400,204
0.07029461860656738,102400,204
0.05532503128051758,102400,204
0.06383991241455078,102400,204
0.07017040252685547,102400,204
0.05975699424743652,102400,204
0.030903339385986328,102400,204
0.07343482971191406,102400,204
0.0688314437866211,102400,204
0.07064318656921387,102400,204
0.07956886291503906,102400,204
0.06711935997009277,102400,204
0.044252634048461914,102400,204
0.03580904006958008,102400,204
0.07491350173950195,102400,204
0.04416632652282715,102400,204
0.0805366039276123,102400,204
0.04436683654785156,102400,204
0.07528066635131836,102400,204
0.05271625518798828,102400,204
0.04632973670959473,102400,204
0.05329775810241699,102400,204
0.07101225852966309,102400,204
0.049445390701293945,102400,204
0.034244537353515625,102400,204
0.03918766975402832,102400,204
0.0311737060546875,102400,204
0.05304431915283203,102400,204
0.04140830039978027,102400,204
0.07002449035644531,102400,204
0.04101967811584473,102400,204
0.061902523040771484,102400,204
0.05649542808532715,102400,204
0.054050445556640625,102400,204
0.04789090156555176,102400,204
0.04388141632080078,102400,204
0.052002906799316406,102400,204
0.0691061019897461,102400,204
0.08090019226074219,102400,204
0.04038405418395996,102400,204
0.029113292694091797,102400,204
0.05416703224182129,102400,204
0.08774089813232422,102400,204
0.06263351440429688,102400,204
0.0864872932434082,102400,204
0.0696706771850586,102400,204
0.05344438552856445,102400,204
0.045954227447509766,102400,204
0.038332223892211914,102400,204
0.08567976951599121,102400,204
0.06194329261779785,102400,204
0.0928337574005127,102400,204
0.056047916412353516,102400,204
0.07346129417419434,102400,204
0.07585930824279785,102400,204
0.04755663871765137,102400,204
0.07093048095703125,102400,204
0.06019020080566406,102400,204
0.054064035415649414,102400,204
0.05091404914855957,102400,204
0.04941153526306152,102400,204
0.04266810417175293,102400,204
0.0431058406829834,102400,204
0.06304168701171875,102400,204
0.05160880088806152,102400,204
0.05216789245605469,102400,204
0.05927896499633789,102400,204
0.04365372657775879,102400,204
0.09565567970275879,102400,204
0.09335565567016602,102400,204
0.09041976928710938,102400,204
0.07515597343444824,102400,204
0.07515168190002441,102400,204
0.05164480209350586,102400,204
0.06990838050842285,102400,204
0.04962277412414551,102400,204
