Time(s),Content(bytes),Header(bytes)
0.0451197624206543,102400,204
0.04695749282836914,102400,204
0.043001413345336914,102400,204
0.04656171798706055,102400,204
0.0472261905670166,102400,204
0.06804490089416504,102400,204
0.05647420883178711,102400,204
0.056029319763183594,102400,204
0.2731471061706543,102400,204
0.04192018508911133,102400,204
0.0640401840209961,102400,204
0.060038089752197266,102400,204
0.045304298400878906,102400,204
0.04182267189025879,102400,204
0.04507017135620117,102400,204
0.06664609909057617,102400,204
0.044722795486450195,102400,204
0.04010009765625,102400,204
0.03786754608154297,102400,204
0.04209709167480469,102400,204
0.04481697082519531,102400,204
0.04563736915588379,102400,204
0.04707646369934082,102400,204
0.05218219757080078,102400,204
0.04852175712585449,102400,204
0.06258630752563477,102400,204
0.047840118408203125,102400,204
0.04155397415161133,102400,204
0.04246830940246582,102400,204
0.04744219779968262,102400,204
0.04627394676208496,102400,204
0.0437469482421875,102400,204
0.3384740352630615,102400,204
0.04134798049926758,102400,204
0.04113650321960449,102400,204
0.0442047119140625,102400,204
0.041639089584350586,102400,204
0.052866220474243164,102400,204
0.04108905792236328,102400,204
0.05391836166381836,102400,204
0.0774393081665039,102400,204
0.046883583068847656,102400,204
0.04265451431274414,102400,204
0.041589975357055664,102400,204
0.04173541069030762,102400,204
0.048439979553222656,102400,204
0.048333168029785156,102400,204
0.06694865226745605,102400,204
0.04543042182922363,102400,204
0.0475926399230957,102400,204
0.04374074935913086,102400,204
0.051679372787475586,102400,204
0.04582571983337402,102400,204
0.03858828544616699,102400,204
0.05102729797363281,102400,204
0.04092144966125488,102400,204
0.04238104820251465,102400,204
0.04589271545410156,102400,204
0.05382800102233887,102400,204
0.04691910743713379,102400,204
0.04796099662780762,102400,204
0.043181657791137695,102400,204
0.04995465278625488,102400,204
0.04330730438232422,102400,204
0.08857345581054688,102400,204
0.04311084747314453,102400,204
0.09864449501037598,102400,204
0.07738757133483887,102400,204
0.07747793197631836,102400,204
0.06752610206604004,102400,204
0.04733920097351074,102400,204
0.04634499549865723,102400,204
0.04921698570251465,102400,204
0.044347286224365234,102400,204
0.04470705986022949,102400,204
0.040114641189575195,102400,204
0.046312808990478516,102400,204
0.04405975341796875,102400,204
0.04831409454345703,102400,204
0.04135584831237793,102400,204
0.04775857925415039,102400,204
0.04866361618041992,102400,204
0.04945731163024902,102400,204
0.05374884605407715,102400,204
0.03630208969116211,102400,204
0.04109072685241699,102400,204
0.03920888900756836,102400,204
0.03945350646972656,102400,204
0.04268002510070801,102400,204
0.0430455207824707,102400,204
0.04938101768493652,102400,204
0.09366631507873535,102400,204
0.06609129905700684,102400,204
0.08632111549377441,102400,204
0.07929301261901855,102400,204
0.11610937118530273,102400,204
0.042677879333496094,102400,204
0.04636645317077637,102400,204
0.046729326248168945,102400,204
0.0449984073638916,102400,204
