Time(s),Content(bytes),Header(bytes)
0.26299619674682617,512000,6550
0.13515090942382812,512000,6550
0.11496663093566895,512000,6550
0.12837672233581543,512000,6550
0.11610627174377441,512000,6550
0.1509854793548584,512000,6550
0.1198720932006836,512000,6550
0.12488126754760742,512000,6550
0.18837332725524902,512000,6550
0.16812562942504883,512000,6550
0.12375235557556152,512000,6550
0.13307809829711914,512000,6550
0.14881420135498047,512000,6550
0.17581582069396973,512000,6550
0.11889529228210449,512000,6550
0.12627196311950684,512000,6550
0.11073875427246094,512000,6550
0.10389900207519531,512000,6550
0.14766216278076172,512000,6550
0.11179327964782715,512000,6550
